pair_id,prompt_A,prompt_B
1,"Who wrote Pride and Prejudice?","Which author is responsible for the novel Pride and Prejudice?"
2,"What year did the iPhone first release?","In what year did Apple launch the first iPhone?"
3,"How far is the Earth from the Sun?","What is the distance between Earth and the Sun?"
4,"Who painted the Mona Lisa?","The artist behind the Mona Lisa is who?"
5,"What is the capital of France?","Which city serves as the capital of France?"
6,"What gas do plants breathe in?","Plants take in which gas from the air?"
7,"Who discovered gravity?","Which scientist is credited with discovering gravity?"
8,"How many continents are there?","What is the total number of continents?"
9,"What does DNA stand for?","Expand the acronym DNA."
10,"What ocean is the deepest?","Which ocean contains the deepest point on Earth?"
11,"What is the boiling point of water in Celsius?","At what Celsius temperature does water boil?"
12,"Who was the first US president?","Which person served as the first president of the United States?"
13,"Which planet is known as the Red Planet?","What planet has the nickname the Red Planet?"
14,"What is the fastest land animal?","Which animal holds the record for fastest on land?"
15,"Who invented the telephone?","The telephone was invented by which person?"
16,"How many bones are in the adult human body?","Adults have how many bones in their bodies?"
17,"What country has the most people?","Which nation has the largest population?"
18,"What is the main language spoken in Brazil?","Which language is primarily spoken in Brazil?"
19,"Who developed the theory of relativity?","Which scientist formulated the theory of relativity?"
20,"What is the largest desert in the world?","Which desert is the largest on Earth?"
21,"If you drop a glass on concrete, what happens?","What is likely to occur if a glass falls onto a concrete floor?"
22,"Why do people wear jackets in winter?","What is the purpose of wearing a jacket during cold weather?"
23,"Can a bicycle stand on its own without a kickstand?","Will a bike remain upright without support?"
24,"Why do we refrigerate milk?","What is the reason milk is kept cold?"
25,"If a bowl overflows with water, what does it mean?","What does it indicate when water spills over a bowl’s edge?"
26,"What happens if you leave ice out in the sun?","What will ice do if it is placed in direct sunlight?"
27,"Why do cars need fuel?","What is the role of fuel in making a car run?"
28,"Can you breathe underwater without equipment?","Is it possible for a person to breathe underwater unaided?"
29,"Why do people take umbrellas when it rains?","What is the function of an umbrella during rain?"
30,"Why does a ball roll downhill?","What causes a ball to move downward on a slope?"
31,"Why do people brush their teeth?","What is the purpose of brushing your teeth?"
32,"Does metal heat up in the sun?","Will a metal surface become hot after sunlight exposure?"
33,"Can fire burn without oxygen?","Is oxygen required for fire to continue burning?"
34,"Why does food spoil if left out?","What causes unrefrigerated food to go bad?"
35,"Why do people drink water?","What is the reason humans need water?"
36,"Can cats fly?","Are cats capable of flight?"
37,"Why do shoes wear out over time?","What makes shoes degrade with use?"
38,"Why does a candle melt when lit?","What causes a lit candle’s wax to melt?"
39,"Why do we sleep at night?","What is the purpose of sleeping during nighttime?"
40,"Can sound travel through water?","Does sound move through liquid?"
41,"If 2x equals 10, what is x?","Solve for x: 2x is equal to 10."
42,"What is the next number in the sequence 2, 4, 8, 16?","Continue the pattern 2, 4, 8, 16. What comes next?"
43,"If a train leaves at noon and arrives at 3 pm, how long was the trip?","A train travels from 12 pm to 3 pm. What is the duration?"
44,"What is 15 percent of 200?","Calculate fifteen percent of two hundred."
45,"A triangle has angles of 60 and 60. What is the third angle?","If two angles of a triangle are 60 degrees, find the last angle."
46,"What is the square root of 81?","Find the number that multiplied by itself equals 81."
47,"If you double a number and add 5, you get 17. What is the number?","Solve: 2n plus 5 equals 17."
48,"What is 9 times 7?","Multiply nine and seven."
49,"What is the probability of flipping heads on a fair coin?","On a normal coin toss, what is the chance of landing heads?"
50,"If you buy 3 apples for 2 dollars each, how much do you spend?","What is the total cost of three apples priced at two dollars each?"
51,"What is 100 divided by 4?","Divide one hundred by four."
52,"If x plus 3 equals 10, find x.","Solve for x in the equation x plus three equals ten."
53,"What is the sum of the first five natural numbers?","Add the natural numbers from one to five."
54,"What is the perimeter of a square with side length 6?","A square has side length six. What is its perimeter?"
55,"If a rectangle is 4 by 7, what is its area?","Find the area of a 4 times 7 rectangle."
56,"What is 12 factorial?","Compute the factorial of twelve."
57,"What is one quarter of 60?","Calculate one fourth of sixty."
58,"If you subtract 9 from 20, what is the result?","What do you get when you take nine away from twenty?"
59,"What is 5 cubed?","Calculate five raised to the power of three."
60,"What is the median of 3, 8, 12?","Find the middle value in the set 3, 8, 12."
61,"If humans had wings, how would cities change?","Imagine people could fly using wings. How might urban design differ?"
62,"If gravity were half as strong, what would daily life look like?","Picture a world with half the gravity. How would living change?"
63,"If all cars became electric tomorrow, what happens next?","Suppose gas vehicles vanished overnight and only electric ones remained. What would follow?"
64,"If robots cooked every meal, how would nutrition change?","Imagine meals are prepared entirely by robots. How might diets shift?"
65,"If no one could lie, what would politics look like?","In a world where lying is impossible, how would political systems behave?"
66,"If you never needed sleep, how would your routine change?","Suppose humans required zero sleep. What would your daily schedule become?"
67,"If social media disappeared, what would communication look like?","Picture life with no social platforms. How would people stay connected?"
68,"If humans lived to 500, how would education change?","Imagine human life span extended to five centuries. How might schooling evolve?"
69,"If animals could talk, what laws would change?","Suppose animals had full language ability. How would legal systems shift?"
70,"If weather could be controlled, what dilemmas arise?","Imagine climate is fully adjustable. What problems would emerge?"
71,"If all work was automated, what would people do?","In a fully automated society, how would humans spend time?"
72,"If teleportation existed, what happens to airlines?","Imagine teleportation becomes common. What is the effect on air travel?"
73,"If time stopped for one minute, what could you do?","Suppose everything froze for sixty seconds. What actions are possible?"
74,"If the internet shut off globally for a month, what would break first?","Imagine the world loses internet access for thirty days. What fails first?"
75,"If money did not exist, how would trade work?","Picture a world without currency. How would people exchange goods?"
76,"If every human knew all languages, what changes?","Suppose everyone is fluent in every language. What shifts in society?"
77,"If memory could be edited, what risks appear?","Imagine memories can be altered at will. What dangers arise?"
78,"If plants glowed at night, what would cities look like?","Suppose vegetation emits natural light. How would nighttime environments change?"
79,"If humans were telepathic, how would privacy be defined?","Picture a world with universal telepathy. What counts as privacy?"
80,"If school started at noon, what happens to learning outcomes?","Imagine all schools begin at midday. How would students perform?"
81,"Is it morally acceptable to steal food if you are starving?","From an ethical perspective is stealing food to avoid starvation acceptable?"
82,"Should companies be allowed to use facial recognition in public spaces?","Is it ethically acceptable for firms to deploy facial recognition in public areas?"
83,"Is it right to test new medicines on animals?","From a moral standpoint is animal testing for new drugs acceptable?"
84,"Should governments mandate vaccines for highly contagious diseases?","Is state enforced vaccination for very contagious illnesses ethically justified?"
85,"Is it ethical for employers to monitor employees online activity?","From an ethics viewpoint is workplace monitoring of internet use acceptable?"
86,"Should people be allowed to sell their own organs?","Is it morally permissible for individuals to sell their organs?"
